asdfasdfasdfasdfasd;flkajsdfl;aksdjfaslkkdfjsakdfj
215,4,10,13,23,32,44,20
216,1,8,11,13,22,38,31
217,6,12,15,34,42,44,4
218,23,29,31,33,34,44,40
219,3,20,24,32,37,45,4
220,11,18,26,31,37,40,43
221,8,11,28,30,43,45,41
222,4,6,10,14,25,40,12
223,4,9,10,32,36,40,18
224,8,10,18,23,27,40,33
225,1,7,12,18,23,27,44
226,4,19,20,26,30,35,24
227,13,25,27,34,38,41,10
228,12,24,33,38,40,42,30
229,8,10,18,30,32,34,27
230,12,15,20,24,30,38,29
231,6,14,19,21,23,31,13
232,3,10,20,26,35,43,36
233,3,7,13,27,40,41,36
234,2,7,8,9,17,33,34
235,1,11,12,14,26,35,6
236,13,20,21,30,39,45,32
237,11,13,23,35,43,45,17
238,4,6,10,19,20,44,14
239,25,27,29,36,38,40,41
240,1,23,28,30,34,35,9
241,10,22,28,34,36,44,2
242,17,20,30,31,37,40,25
243,6,12,20,26,29,38,45
244,11,16,29,38,41,44,21
245,9,14,20,22,33,34,28
246,8,16,26,30,38,45,42
247,3,13,20,24,33,37,35
248,19,23,29,33,35,43,27
249,2,3,5,11,27,39,33
250,18,22,25,31,38,45,6
251,1,3,16,18,30,34,44
252,3,23,28,34,39,42,16
253,12,16,19,22,37,40,8
254,6,7,15,24,28,30,21
255,4,17,18,27,39,43,19
256,8,10,14,27,33,38,3
257,10,11,26,31,34,44,30
258,1,17,27,28,29,40,5
259,8,15,19,21,34,44,12
260,6,11,26,27,28,44,30
261,4,9,10,29,31,34,27
262,2,11,13,14,28,30,7
263,11,13,15,26,28,34,31
264,4,5,14,20,22,43,44
265,5,6,8,11,22,26,44
266,7,17,20,26,30,40,24
267,2,14,15,22,23,44,43
268,2,9,15,23,34,40,3
269,4,7,39,41,42,45,40
270,11,14,22,35,37,39,5
271,1,3,18,32,40,41,16
272,6,9,21,31,32,40,38
273,9,20,21,22,30,37,16
274,6,7,13,16,24,25,1
275,7,12,21,24,27,36,45
276,1,2,10,25,26,44,4
277,5,20,21,24,33,40,36
278,10,14,22,24,28,37,26
279,5,9,15,19,22,36,32
280,6,12,18,31,38,43,9
281,9,21,27,34,41,43,2
282,1,2,9,17,19,42,20
283,10,15,20,23,42,44,7
284,12,13,17,22,25,33,8
285,18,20,31,34,40,45,30
286,11,15,20,26,31,35,7
287,1,13,20,22,25,28,15
288,9,16,28,40,41,43,21
289,1,3,7,8,24,42,43
290,10,11,18,22,28,39,30
291,16,17,28,37,39,40,15
292,7,16,18,20,23,26,3
293,1,8,9,17,29,32,45
294,1,26,31,34,40,43,20
295,4,7,10,19,31,40,26
296,7,12,19,21,29,32,9
297,11,22,24,32,36,38,7
298,4,15,28,33,37,40,25
299,10,15,22,24,27,42,19
300,1,5,10,12,16,20,11
301,1,2,8,17,26,37,27
302,6,10,22,31,35,40,19
303,5,22,29,31,34,39,43
304,6,22,29,37,43,45,23
305,1,11,13,24,28,40,7
306,4,8,19,25,27,45,7
307,11,13,15,17,25,34,26
308,15,26,37,42,43,45,9
309,8,11,14,16,18,21,13
310,7,9,15,26,27,42,18
311,16,18,24,42,44,45,17
312,17,20,35,36,41,43,21
313,11,21,24,30,39,45,26
314,3,22,25,29,32,44,19
315,5,12,19,26,27,44,38
316,5,15,21,25,26,30,31
317,2,5,7,14,16,40,4
318,11,12,14,21,32,38,6
319,2,3,22,27,30,40,29
320,5,10,16,24,27,35,33
321,4,16,23,25,35,40,27
322,1,10,19,20,24,40,23
323,1,9,10,12,21,40,37
324,10,14,18,21,36,37,5
325,2,8,14,25,29,45,24
326,5,8,29,30,35,44,38
327,14,19,36,43,44,45,1
328,11,16,19,22,29,36,26
329,5,16,17,20,26,41,24
